Lower energy 3x+GC,Upper energy 3x+GC,Name,order
-12.41,-12.75,S. cerevisiae,1
-11.12,-12.75,H. sapiens,2
-10.41,-12.75,C. albicans,3
-8.76,-12.75,D. discoideum,4
-7.99,-12.75,T. cruzi,5
-7.7,-12.75,C. neoformans,6
-10.78,-12.75,O. sativa,7
-7.54,-12.75,~H. sapiens,8
,-12.51,Group II introns (Upper),
-9.97,,Group II introns (Lower),
-12.08,-12.51,O. Iheyensis,9
-9.97,-13.58,O. Iheyensis,9
-11.12,-13.27,O. Iheyensis,9
-11.12,-13.27,O. Iheyensis,9
-8.77,-11.76,O. Iheyensis,9
-8.37,-11.76,O. Iheyensis,9
-10.57,-12.68,O. Iheyensis,9
-9.97,-13.62,O. Iheyensis,9
-9.97,-13.58,O. Iheyensis,9
-8.77,-11.76,O. Iheyensis,9
-8.37,-11.76,O. Iheyensis,9
-8.77,-11.76,O. Iheyensis,9
-8.37,-11.76,O. Iheyensis,9
-8.77,-11.76,O. Iheyensis,9
-8.77,-11.76,O. Iheyensis,9
-8.43,-13.27,O. Iheyensis,9
-8.77,-11.76,O. Iheyensis,9
-8.37,-11.76,O. Iheyensis,9
-8.43,-11.43,O. Iheyensis,9
-11.12,-12.19,O. Iheyensis,9
-9.97,-13.27,O. Iheyensis,9
-9.97,-11.76,O. Iheyensis,9
-5.87,-11.76,O. Iheyensis,9
-11.11,-11.76,O. Iheyensis,9
-9.97,-11.37,O. Iheyensis,9
-9.97,-12.4,O. Iheyensis,9
-9.97,-12.4,O. Iheyensis,9
-11.11,-13.62,O. Iheyensis,9
-9.97,-12.4,O. Iheyensis,9
-8.43,-13.27,O. Iheyensis,9
-9.97,-11.76,O. Iheyensis,9
-9.97,-13.62,O. Iheyensis,9
-11.11,-13.62,O. Iheyensis,9
-9.97,-12.68,O. Iheyensis,9
-11.11,-13.62,O. Iheyensis,9
-11.11,-12.68,O. Iheyensis,9
-9.97,-13.27,O. Iheyensis,9
-9.97,-11.76,O. Iheyensis,9
-7.51,-12.4,O. Iheyensis,9
-11.11,-7.96,O. Iheyensis,9
-11.11,-7.96,O. Iheyensis,9
-9.97,-13.62,O. Iheyensis,9
-11.12,-12.4,O. Iheyensis,9
-9.97,-13.62,O. Iheyensis,9
-9.97,-9.82,O. Iheyensis,9
-11.11,-12.68,O. Iheyensis,9
-9.97,-11.76,O. Iheyensis,9
-11.11,-7.96,O. Iheyensis,9
-9.97,-13.62,O. Iheyensis,9
-11.11,-7.96,O. Iheyensis,9
-11.11,-13.27,O. Iheyensis,9
-9.97,-10.73,O. Iheyensis,9
-9.97,-13.27,O. Iheyensis,9
-9.97,-10.73,O. Iheyensis,9
-11.12,-11.76,O. Iheyensis,9
-9.97,-11.43,O. Iheyensis,9
-9.97,-12.4,O. Iheyensis,9
-9.97,-13.27,O. Iheyensis,9
-11.11,-13.62,O. Iheyensis,9
-11.11,-10.34,O. Iheyensis,9
-9.97,-10.46,O. Iheyensis,9
-9.97,-12.19,O. Iheyensis,9
-11.11,-12.54,O. Iheyensis,9
-11.11,-10.34,O. Iheyensis,9
-9.97,-12.19,O. Iheyensis,9
-9.97,-11.43,O. Iheyensis,9
-11.11,-12.19,O. Iheyensis,9
-11.11,-10.34,O. Iheyensis,9
-9.97,-12.4,O. Iheyensis,9
-9.97,-13.27,O. Iheyensis,9
-9.97,-13.62,O. Iheyensis,9
-11.12,-10.69,O. Iheyensis,9
-9.97,-13.62,O. Iheyensis,9
-9.97,-10.79,O. Iheyensis,9
-9.97,-8.95,O. Iheyensis,9
-11.12,-13.27,O. Iheyensis,9
-9.97,-13.27,O. Iheyensis,9
-11.11,-12.4,O. Iheyensis,9
-11.12,-13.27,O. Iheyensis,9
-10.08,-12.19,O. Iheyensis,9
-11.11,-11.36,O. Iheyensis,9
-10.08,-12.19,O. Iheyensis,9
-12.17,-13.62,O. Iheyensis,9
-11.12,-10.69,O. Iheyensis,9
-11.12,-10.69,O. Iheyensis,9
-11.12,-13.27,O. Iheyensis,9
-11.12,-12.4,O. Iheyensis,9
-10.08,-12.19,O. Iheyensis,9
-10.08,-12.19,O. Iheyensis,9
-11.12,-11.61,O. Iheyensis,9
-11.12,-11.61,O. Iheyensis,9
-11.12,-11.61,O. Iheyensis,9