Upper energy 3x+GC,Name
-9.85,S. cerevisiae
-11.29,S. cerevisiae
-10.5,S. cerevisiae
-9.88,S. cerevisiae
-11.3,S. cerevisiae
-10.4,S. cerevisiae
-10.28,S. cerevisiae
-9.24,S. cerevisiae
-10.58,S. cerevisiae
-8.97,S. cerevisiae
-8.69,S. cerevisiae
-9,S. cerevisiae
-10.29,S. cerevisiae
-9.76,S. cerevisiae
-11.16,S. cerevisiae
-9.8,S. cerevisiae
-11.14,S. cerevisiae
,S. cerevisiae
,H. sapiens
,C. albicans
,D. discoideum
,T. cruzi
,C. neoformans
,O. sativa
,~H. sapiens
,Group II introns (Upper)
,Group II introns (Lower)